         4688146 function calls (4563357 primitive calls) in 3.933 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.036    0.018 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1129(generic)
       30    0.000    0.000    0.036    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/postproc.py:71(run)
       12    0.000    0.000    0.036    0.003 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:748(_build_impl)
        3    0.000    0.000    0.036    0.012 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1075(_get_signature)
        4    0.000    0.000    0.035    0.009 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/types/functions.py:534(get_call_type)
        4    0.000    0.000    0.035    0.009 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:303(get_call_template)
       26    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
       26    0.034    0.001    0.034    0.001 {built-in method _imp.create_dynamic}
     2359    0.004    0.000    0.034    0.000 {built-in method builtins.sorted}
       46    0.000    0.000    0.033    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/module.py:233(__repr__)
       46    0.000    0.000    0.032    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
       46    0.000    0.000    0.032    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/module.py:212(<listcomp>)
      294    0.001    0.000    0.032    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:744(load_additional_registries)
        1    0.000    0.000    0.032    0.032 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/linalg/_sketches.py:1(<module>)
        1    0.000    0.000    0.032    0.032 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/sparse/__init__.py:1(<module>)
  412/285    0.001    0.000    0.031    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/functools.py:949(__get__)
      138    0.000    0.000    0.031    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1013(__str__)
