         13633529 function calls (13507492 primitive calls) in 14.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.077    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/binding/passmanagers.py:681(run)
       12    0.000    0.000    0.074    0.006 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:1058(wrapper)
        7    0.000    0.000    0.074    0.011 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/binding/executionengine.py:94(finalize_object)
   294/48    0.000    0.000    0.072    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:153(refresh)
1322/1318    0.001    0.000    0.071    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:348(apply)
       13    0.000    0.000    0.066    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:719(add_linking_library)
        1    0.000    0.000    0.065    0.065 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arraymath.py:1(<module>)
    14/12    0.000    0.000    0.065    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:900(lower_call)
    14/12    0.000    0.000    0.064    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:1142(_lower_call_normal)
        1    0.000    0.000    0.063    0.063 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arrayobj.py:4914(array_copy)
        1    0.000    0.000    0.063    0.063 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arrayobj.py:4868(_array_copy)
       12    0.000    0.000    0.062    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:723(add_ir_module)
        1    0.000    0.000    0.062    0.062 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arrayobj.py:4175(_empty_nd_impl)
      190    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:856(get_code)
     12/5    0.000    0.000    0.060    0.012 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir_utils.py:589(remove_dead)
        1    0.000    0.000    0.060    0.060 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:876(compile_internal)
79225/12912    0.041    0.000    0.060    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir.py:318(_rec_list_vars)
        1    0.000    0.000    0.059    0.059 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:847(compile_subroutine)
        1    0.000    0.000    0.059    0.059 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:809(_compile_subroutine_no_cache)
        1    0.000    0.000    0.058    0.058 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arraymath.py:32(_check_blas)
        1    0.000    0.000    0.058    0.058 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/linalg.py:55(ensure_blas)
        1    0.000    0.000    0.058    0.058 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.054    0.054 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:811(compile_internal)
    96/70    0.008    0.000    0.053    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/analysis.py:23(compute_use_defs)
        2    0.000    0.000    0.052    0.026 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:381(run_pass)
        2    0.000    0.000    0.052    0.026 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:3058(run)
    10285    0.002    0.000    0.051    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir.py:351(list_vars)
      153    0.000    0.000    0.050    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:704(__call__)
   294/48    0.000    0.000    0.049    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:415(_load_builtins)
 2646/432    0.006    0.000    0.049    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:428(install_registry)
      808    0.001    0.000    0.048    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/events.py:759(new_event_loop)
    56/54    0.000    0.000    0.048    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:575(__call__)
   101/32    0.002    0.000    0.047    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir_utils.py:632(remove_dead_block)
